what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668818849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668821105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668824266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668824748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668866232
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395668866259
error,log,,,"Invalid preference page path: HTML Syntax",1395668866828
error,log,,,"Invalid preference page path: XML Syntax",1395668866832
started,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1395668868420
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1395668868632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668871154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668875065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1395668875072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668876133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668879183
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1395668879210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668879812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668880891
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395668882282
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1395668889107
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1395668889215
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1395668889387
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1395668889573
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1395668889850
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1395668890017
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1395668890064
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1395668890182
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1395668890357
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1395668890507
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1395669519138
